Feature Name,Category,Target ETF(s),Variant Of,Concept / Source,Formula & Math,Microstructure Mechanism,Normalization Method,Causality Self-Test Result,Expected Correlation Sign
northbound_net_accel,day_level,300,northbound_net,Northbound flow acceleration. 1d change.,northbound_net[T-1] - northbound_net[T-2],Accelerating foreign capital inflows signals institutional buying.,Normalized by yesterday's volume.,Pass. Shifted 1 day.,+
margin_lever_ratio,day_level,all,margin_short_ratio,Leverage ratio. Margin vs short balance.,margin_balance[T-1] / short_balance[T-1],High margin-to-short ratio show retail levered long conviction.,Ratio.,Pass. Shifted 1 day.,+
capital_net_accel,day_level,all,capital_net_ratio,Capital flow acceleration. 1d change.,capital_net_ratio[T-1] - capital_net_ratio[T-2],Net capital inflow acceleration predict bull momentum.,Difference.,Pass. Shifted 1 day.,+
northbound_volume_share,day_level,300,northbound_net,Northbound trading activity share.,(northbound_buy[T-1] + northbound_sell[T-1]) / total_market_volume[T-1],High foreign share show global macro driver dominance.,Percentage.,Pass. Shifted 1 day.,+
yesterday_northbound_net_ratio,yesterday,300,northbound_net,Yesterday northbound flow normalized by yesterday volume.,northbound_net[T-1] / volume[T-1],Yesterday foreign net flow relative to size show flow intensity.,Ratio.,Pass. Shifted 1 day.,+
margin_buy_repayment_spread,day_level,all,margin_net_buy,Margin net increase. Buy minus repayment.,(buy_on_margin_value[T-1] - margin_repayment[T-1]) / total_balance[T-1],"Retail long debt accumulation. Short-term bullish, long-term fragile.",Ratio.,Pass. Shifted 1 day.,+
short_sell_cover_spread,day_level,all,margin_short_ratio,Short selling net flow. Sell minus cover.,(short_sell_quantity[T-1] - short_repayment_quantity[T-1]) / short_balance_quantity[T-1],Active short buildup vs short covering.,Ratio.,Pass. Shifted 1 day.,-
northbound_momentum_5d,day_level,300,northbound_net,5d cumulative northbound flow.,sum(northbound_net[T-5..T-1]) / mean(volume[T-5..T-1]),Persistent foreign accumulation form strong support.,Ratio.,Pass. Shifted 1 day.,+
margin_extreme_rank_252d,day_level,all,margin_balance,252d margin rank. Extreme leverage index.,rank(margin_balance[T-1] in margin_balance[T-252..T-1]) / 252,Unprecedented leverage implies overbought bubble regime.,Percentile.,Pass. Shifted 1 day.,-
capital_large_order_ratio,day_level,all,capital_net_ratio,Large order share of net capital flow.,(capital_buy_volume[T-1] - capital_sell_volume[T-1]) / (capital_buy_volume[T-1] + capital_sell_volume[T-1] + 1e-8),Large block trades capture institutional intent better than retail.,Ratio.,Pass. Shifted 1 day.,+
demark_setup_count_day,day_level,all,novel,TD Sequential. Demark 1997.,consec_buy = count(close_i < close_{i-4}) for i=[T-9..T-1]; consec_sell = count(close_i > close_{i-4}); r = consec_sell - consec_buy,Price exhaustion setup. Count 9 signal trend exhaustion/fade.,"Integer count [-9, 9].",Pass. Shifted 1 day.,-
demark_setup_reversal_early,early_bar,all,novel,TD Sequential on 5m bars. Demark 1997.,early_count = sum(1 if C_i < C_{i-4} else -1 if C_i > C_{i-4} for i=[0..5]),Short term momentum exhaustion early bars trigger reversal.,Count division.,Pass. Only bar 0-5. No look-ahead.,-
consecutive_inside_bars_3d,day_level,all,novel,Daily inside bars (ii/iii). Brooks 2012.,count consecutive days ending T-1 where high_i <= high_{i-1} and low_i >= low_{i-1},Multi-day coiling volatility. Precursor to explosive trend breakout.,Integer count.,Pass. Shifted 1 day.,+
outside_bar_reversal_day,day_level,all,novel,Outside bar flag. Brooks 2012.,1.0 if high[T-1] > high[T-2] and low[T-1] < low[T-2] else 0.0,Yesterday swept both sides range. Directional breakout target.,Binary flag.,Pass. Shifted 1 day.,+
brooks_high_low_2_early,early_bar,all,novel,High 2 / Low 2 pullback. Brooks 2012.,1.0 if (C_i > H_{i-1} occurs twice in pullback sequence) else -1.0 if (C_i < L_{i-1} occurs twice) else 0.0,Second attempt breakout in pullback signal completion consolidation.,Discrete.,Pass. Only bar 0-5. No look-ahead.,+
failed_breakout_reversal_early,early_bar,all,orb_breakout_sentiment,ORB breakout failure. Brooks 2012.,1.0 if (max(high[0..5]) > high_0 and C_5 < low_0) else -1.0 if (min(low[0..5]) < low_0 and C_5 > high_0) else 0.0,Sweeping open range extreme then reverse trap breakout traders.,Discrete.,Pass. Only bar 0-5. No look-ahead.,-
price_action_thrust_ratio,early_bar,all,body_to_range_ratio,Thrust intensity. Price Action trends.,sum(abs(C_i - O_i) for i=[0..5]) / (max(high[0..5]) - min(low[0..5]) + 1e-8),Large body ratios imply high execution conviction trend.,Ratio.,Pass. Only bar 0-5. No look-ahead.,+
doji_cluster_intensity,early_bar,all,early_doji_count,Indecision cluster. Brooks 2012.,max_consecutive(i where abs(C_i - O_i) < 0.1 * (H_i - L_i + 1e-8)),Consecutive indecision bars implies complete consolidation before exit.,Integer ratio.,Pass. Only bar 0-5. No look-ahead.,-
shaved_bars_ratio,early_bar,all,upper_wick_dominance,Shaved candle (Marubozu). Price Action.,sum(1 if (C_i == H_i or C_i == L_i) else 0 for i=[0..5]) / 6,Bars close extreme show absolute dominance at bar close.,Ratio.,Pass. Only bar 0-5. No look-ahead.,+
climax_reversal_followthrough,early_bar,all,volume_climax_exhaustion,Climax and follow-through. Brooks.,climax_idx = argmax(V[0..5]); C_5 - C_{climax_idx} if C_{climax_idx} > O_{climax_idx} else O_{climax_idx} - C_5,Confirm if climax reversal or start sustainable trend.,ATR division.,Pass. Only bar 0-5. No look-ahead.,+
wavetrend_osc_day,day_level,all,rsi21,WaveTrend Oscillator. LazyBear 2014.,"ap = (H+L+C)/3; esa = ema(ap, 10); d = ema(abs(ap - esa), 10); ci = (ap - esa) / (0.015 * d); tci = ema(ci, 21); wt1 = tci",Overbought/oversold indicator of price channel deviation.,"Bounded [-100, 100], divided by 100.",Pass. Shifted 1 day.,-
wavetrend_cross_day,day_level,all,macd_hist,WaveTrend Cross. LazyBear 2014.,"wt2 = sma(wt1, 4); wt_cross = wt1 - wt2",Oscillator crossing signals momentum shift inside channels.,Ratio.,Pass. Shifted 1 day.,+
keltner_squeeze_width,day_level,all,bb_width,Volatility Squeeze. Carter 2005.,"bb_width[T-1] / keltner_width[T-1] where kc = ema(close, 20) +/- 1.5 * atr(20)",Bollinger Band inside Keltner implies coiling. Breakout imminent.,Ratio.,Pass. Shifted 1 day.,+
stoch_rsi_divergence,day_level,all,stoch_k,Stochastic RSI Divergence. Chande 1994.,stoch_rsi = (rsi - min(rsi)) / (max(rsi) - min(rsi)); div = close - stoch_rsi,Momentum divergence. Price rise with falling stoch rsi implies fade.,Difference.,Pass. Shifted 1 day.,-
early_wavetrend_osc,early_bar,all,rsi_opening,WaveTrend on 5m bars. LazyBear 2014.,"ap = (H_i+L_i+C_i)/3; esa = ema(ap, 3); d = ema(abs(ap-esa), 3); wt1 = (ap-esa)/(0.015*d)",Intraday overbought condition at decision bar.,Ratio.,Pass. Only bar 0-5. No look-ahead.,-
early_wavetrend_cross,early_bar,all,rsi_opening,WaveTrend crossing in 5m bars.,"wt2 = sma(wt1, 2); wt1 - wt2",Short term momentum crossing triggers afternoon entry direction.,Difference.,Pass. Only bar 0-5. No look-ahead.,+
atr_expansion_flag_early,early_bar,all,volatility_regime_intraday,ATR Expansion. Volatility breakout.,atr(5m)[0..5] / atr(5m)_prev,Expanding range early session indicate high conviction block order.,Ratio.,Pass. Only bar 0-5. No look-ahead.,+
volatility_breakout_squeeze,early_bar,all,inside_bar_compression,Bollinger band squeeze breakout.,(max(high[0..5]) - min(low[0..5])) / bb_width_prev,Squeeze release triggers morning momentum. Trend acceleration.,Ratio.,Pass. Only bar 0-5. No look-ahead.,+
yesterday_wavetrend_osc,yesterday,all,yesterday_day_close_pos,Yesterday WaveTrend value.,wavetrend_osc_day[T-1],Yesterday close WaveTrend value predict today trend continuation.,Ratio.,Pass. Shifted 1 day.,+
yesterday_stoch_rsi_cross,yesterday,all,stoch_k,Yesterday Stochastic RSI crossing.,stoch_k[T-1] - stoch_d[T-1],Yesterday cross establishes entry direction bias.,Difference.,Pass. Shifted 1 day.,+
early_cvd_slope,early_bar,all,net_volume_flow,CVD. Cumulative Volume Delta.,slope(cumsum(sign(C_i - O_i) * V_i)) for i=[0..5],Slope of aggressive volume accumulation indicates active buying pressure.,Divided by mean volume.,Pass. Only bar 0-5. No look-ahead.,+
early_volume_imbalance_ratio,early_bar,all,volume_concentration,Volume Imbalance. Bid vs Ask volume.,sum(V_i if C_i>O_i) / sum(V_i if C_i<=O_i) for i=[0..5],"Buyer volume exceeds seller volume, predicting upward continuation.",Ratio.,Pass. Only bar 0-5. No look-ahead.,+
early_bid_ask_spread_proxy,early_bar,all,volume_price_corr,Illiquidity proxy. Average price impact.,mean((H_i - L_i) / V_i) for i=[0..5],High illiquidity indicates thin book. Expect wide ranges and reversal.,Percentage.,Pass. Only bar 0-5. No look-ahead.,-
yesterday_cvd_close,yesterday,all,net_volume_flow,Daily CVD value of yesterday.,sum(sign(C_i - O_i) * V_i) for i=[0..47] on T-1,Yesterday institutional net flow carry over.,Ratio.,Pass. Shifted 1 day.,+
cvd_divergence_day,day_level,all,macd_hist,Price CVD divergence.,close[T-1] / close[T-5] - cvd[T-1] / cvd[T-5],Price rise unsupported by CVD implies weak retail buying. Reversal.,Difference ratio.,Pass. Shifted 1 day.,-
volume_concentration_slope,early_bar,all,volume_trend_intraday,Volume decay. Early session volume slope.,slope(V_i / sum(V)) for i=[0..5],Decaying volume slope implies early auction imbalance resolved.,Ratio.,Pass. Only bar 0-5. No look-ahead.,-
liquidity_density_early,early_bar,all,volume_price_corr,Amihud ratio. Price impact of volume.,sum(abs(C_i - C_{i-1})) / sum(V_i),High density implies low price impact (liquid). Low density implies high impact.,Ratio.,Pass. Only bar 0-5. No look-ahead.,+
early_vwap_acceleration,early_bar,all,vwap_slope_intraday,VWAP momentum acceleration.,slope(vwap_i)[3..5] - slope(vwap_i)[0..2],Accelerating volume weighted price shows building momentum.,Ratio.,Pass. Only bar 0-5. No look-ahead.,+
yesterday_illiquidity_amihud,yesterday,all,yesterday_day_range,Amihud illiquidity. Yesterday daily close.,abs(yesterday_return) / yesterday_volume,Thin liquidity yesterday increases today's volatility and gap potential.,Ratio.,Pass. Shifted 1 day.,-
early_order_flow_imbalance,early_bar,all,net_volume_flow,Volume Delta. Aggressive buyer pressure.,sum((C_i - L_i - (H_i - C_i)) / (H_i - L_i + 1e-8) * V_i) for i=[0..5],Close position weighted volume shows buyer dominance.,Ratio.,Pass. Only bar 0-5. No look-ahead.,+
rbreaker_buy_break_dist_early,early_bar,all,orb_breakout_sentiment,R-Breaker pivot breakout. R-Breaker strategy.,(C_5 - buy_break[T-1]) / atr14[T-1] where buy_break = sell_setup + 0.25 * (sell_setup - buy_setup),Breakout of daily resistance buy_break triggers strong trend.,ATR division.,Pass. Only bar 0-5. Pivot shifted 1 day.,+
rbreaker_sell_break_dist_early,early_bar,all,orb_breakout_sentiment,R-Breaker pivot breakdown.,(C_5 - sell_break[T-1]) / atr14[T-1] where sell_break = buy_setup - 0.25 * (sell_setup - buy_setup),Breakdown of daily support sell_break triggers strong selloff.,ATR division.,Pass. Only bar 0-5. Pivot shifted 1 day.,-
rbreaker_sell_setup_proximity_early,early_bar,all,session_high_proximity,R-Breaker observation level. Reversal pivot.,(max(high[0..5]) - sell_setup[T-1]) / atr14[T-1],Price reaches sell_setup line; failure triggers reversal.,ATR division.,Pass. Only bar 0-5. Pivot shifted 1 day.,-
rbreaker_buy_setup_proximity_early,early_bar,all,session_low_proximity,R-Breaker observation level. Reversal pivot.,(min(low[0..5]) - buy_setup[T-1]) / atr14[T-1],Price reaches buy_setup line; bounce triggers buy reversal.,ATR division.,Pass. Only bar 0-5. Pivot shifted 1 day.,+
skypark_gap_reversal_early,early_bar,all,opening_gap_reversal,SkyPark strategy gap breakout. SkyPark.,if abs(gap_pct) >= 0.01: r = ((max(high[1..5]) - high_0) - (low_0 - min(low[1..5]))) / close_prev else 0.0,Large gap open. Break of first bar high/low trigger breakout.,Price division.,Pass. Only bar 0-5. No look-ahead.,+
turtle_channel_proximity_day,day_level,all,bb_pctb,Donchian Channel position. Turtle Strategy.,(close[T-1] - (high20[T-1] + low20[T-1])/2) / (high20[T-1] - low20[T-1] + 1e-8),Price position inside 20-day high/low channel.,"Bounded [-0.5, 0.5].",Pass. Shifted 1 day.,+
turtle_breakout_strength_early,early_bar,all,breakout_strength_ratio,Donchian channel breakout. Turtle Strategy.,if C_5 > high20[T-1]: (C_5 - high20[T-1]) / atr20[T-1] else if C_5 < low20[T-1]: (C_5 - low20[T-1]) / atr20[T-1] else 0.0,Early breakout 20-day daily high/low channels trigger momentum.,ATR division.,Pass. Only bar 0-5. Channel shifted 1 day.,+
chande_momentum_osc_day,day_level,all,rsi21,Chande Momentum Oscillator (CMO). Chande 1994.,"su = sum(max(C-C_prev, 0), 14); sd = sum(max(C_prev-C, 0), 14); cmo = (su - sd) / (su + sd + 1e-8)",Momentum speed indicator. Count of up/down returns.,"Bounded [-1, 1].",Pass. Shifted 1 day.,+
coppock_curve_day,day_level,all,roc60,Coppock Curve. Coppock 1965.,"wma(roc(close, 14) + roc(close, 11), 10)",Long-term momentum designed to identify bottoms.,Percentage ratio.,Pass. Shifted 1 day.,+
elder_ray_power_spread,day_level,all,macd_hist,Elder Ray Index. Elder 1989.,"bull_power = high - ema(close, 13); bear_power = low - ema(close, 13); bull_power - bear_power",Measure buying vs selling power relative to consensus value.,ATR division.,Pass. Shifted 1 day.,+
