"name","category","source","concept","formula","input_data","signal_direction","rationale","normalization","limitation","related_existing"
"volume_surge_max","early_bar","Generic/HPotter","Max volume vs expected","ev=sma_vol_daily[T-1]/48; r=max(V_i/(ev+1e-8) for i in [0..D])","OHLCV bars[0..D]; Index daily volume T-1","Positive; large surge = strong commitment; expect follow-through","Volume surge signals institutional participation; direction depends on price action","Min-max [0,1] after winsorize","Index rebalance days distort volume","vol_ratio;vol_clustered_ratio"
"volume_dryup_ratio","early_bar","Generic/HPotter","Low volume bar fraction","ev=sma_vol_daily[T-1]/48; r=sum(1 for i in [0..D] if V_i<ev)/(D+1)","OHLCV bars[0..D]; Index daily volume T-1","Negative; high dryup = low participation; range likely to persist","Low volume bars show lack of institutional interest; price drifts without direction","Already [0,1]","Thin sessions inflate ratio","vol_slope;vol_ratio"
"pullback_ratio","early_bar","Generic","Pullback from opening high","hh=max(H_i i=[0..D]); ll=min(L_i i=[0..D]); r=(hh-C_D)/(hh-ll+1e-8)","OHLC bars[0..D]","Negative; high pullback = fading opening strength","If opening high was aggressive, pullback shows rejection; lower afternoon return likely","Already [0,1]","Meaningless if hh≈ll","early_range;cl_pos_in_range"
"rally_ratio","early_bar","Generic","Rally from opening low","hh=max(H_i i=[0..D]); ll=min(L_i i=[0..D]); r=(C_D-ll)/(hh-ll+1e-8)","OHLC bars[0..D]","Positive; high rally = strong bid; expect continued upside","Opening low acted as support; buyers absorbed selling and pushed higher","Already [0,1]","Meaningless if hh≈ll","early_range;cl_pos_in_range"
"range_expansion_ratio","early_bar","Generic","Range expansion beyond first bar","r=(max(H_i)-min(L_i))/(H0-L0+1e-8)","OHLC bars[0..D]","Positive; large expansion = trending conviction; expect direction persistence","Bar-by-bar range expansion shows escalating commitment in one direction","Divide by (D+1) for per-bar scaling","Sensitive to single outlier bar","early_range;path_length"
"volume_concentration","early_bar","Generic","Top-3 volume share","r=sum(sorted(V,reverse=True)[0:3])/sum(V_i for i in [0..D])","OHLCV bars[0..D]","Negative; high concentration = one-sided burst then exhaustion","Front-loaded volume shows aggressive entry but limited follow-through capacity","Already [0,1]","Low total volume distorts ratio","vol_clustered_ratio;volume_surge_max"
"close_vs_open_range","early_bar","Generic","Decision close vs first bar range","r=(C_D-O0)/(H0-L0+1e-8)","OHLC bars[0..D]","Positive = above first bar midpoint; Negative = below","Relative position encodes whether opening momentum carried through or faded","Already roughly [-1,+1]","Wide first bar range reduces sensitivity","first_bar_sentiment;or_fill_ratio"
"vwap_deviation_max","early_bar","Generic","Max close deviation from VWAP","vwap_i=cumsum(C_j*V_j j=0..i)/cumsum(V_j j=0..i); r=max(abs(C_i-vwap_i))/(max(H_i)-min(L_i)+1e-8)","OHLCV bars[0..D]","Negative; large deviation = likely revert to VWAP by close","VWAP acts as intraday magnet; large early deviation tends to mean-revert by 14:30","Winsorize 99th then [0,1]","Requires volume data; unreliable illiquid sessions","vwap;vol_slope"
"net_volume_flow","early_bar","Generic","Volume-weighted directional flow","r=sum((C_i-O_i)/(H_i-L_i+1e-8)*V_i for i in [0..D])","OHLCV bars[0..D]","Positive = net buying; Negative = net selling","Signed volume flow captures which side absorbed opening imbalance","Divide by sum(V_i) for ratio","Sign flips with bar close location","volume_concentration;vol_ratio"
"orb_breakout_sentiment","early_bar","Generic/ORB","Opening range breakout direction","hh=max(H_i i=[0..D]); ll=min(L_i i=[0..D]); r=sign(C_D-hh) if C_D>hh else sign(C_D-ll) if C_D<ll else 0","OHLC bars[0..D]","Contextual; sign indicates breakout direction (or range-bound)","Breakout of first-bar range confirms opening auction direction; trend persists","Discrete [-1,0,+1]","Narrow ranges produce whipsaws; combine with volume filter","opening_range_size;early_return"
"consecutive_bullish_engulfing","early_bar","Generic/Chao","Consecutive bullish engulfing bars","r=max(0,sum(1 for i in [1..D] where C_i>O_i and C_i>O_{i-1} and O_i<C_{i-1})) cap 3","OHLC bars[0..D]","Positive; multiple engulfing = strong absorption; expect continued upside","Each bullish engulfing = aggressive bid absorbing prior supply; stacked engulfs = powerful","Cap at 3; min-max [0,1]","Rare in strong downtrends; choppy markets produce many small engulfs","early_bullish_hammer;spike_exhaustion_ratio"
"consecutive_bearish_engulfing","early_bar","Generic/Chao","Consecutive bearish engulfing bars","r=max(0,sum(1 for i in [1..D] where C_i<O_i and C_i<O_{i-1} and O_i>C_{i-1})) cap 3","OHLC bars[0..D]","Negative; multiple bearish engulfing = strong supply absorption","Each bearish engulfing = aggressive offer absorbing prior demand; stacked engulfs = powerful downside","Cap at 3; min-max [0,1]","Rare in strong uptrends; choppy markets produce many small engulfs","early_bearish_shooting_star;spike_exhaustion_ratio"
"early_body_momentum","early_bar","Generic","Sum of signed body ratios","body_i=(C_i-O_i)/(H_i-L_i+1e-8); r=sum(body_i for i in [0..D])","OHLC bars[0..D]","Positive = net bullish bodies; Negative = net bearish bodies","Cumulative body direction measures commitment strength in opening session","Already continuous; winsorize 95th","Neutralized in wide range bars; combine with volume","bar_body_rng_i;early_return"
"vwap_slope_intraday","early_bar","Generic/VWAP","VWAP slope across opening bars","vwap_i=cumsum(C_j*V_j j=0..i)/cumsum(V_j j=0..i); r=regression_slope(vwap_i index=[0..D])","OHLCV bars[0..D]","Positive slope = rising VWAP; bullish; Negative = falling VWAP; bearish","VWAP slope reflects where volume-weighted value is heading intraday","Divide by ATR(5m) for stationarity","Requires volume; noisy first 2 bars","vwap_deviation_max;vol_ratio"
"vwap_cross_count","early_bar","Generic/VWAP","Price crossing VWAP frequency","vwap_i as above; r=sum(1 for i in [0..D] where (C_i>vwap_i)!=(C_{i-1}>vwap_{i-1}))","OHLCV bars[0..D]","Negative; high cross count = chop around VWAP; low conviction","Frequent VWAP crossings show no consensus; price oscillates around value","Divide by (D+1) for ratio","Requires volume; high in very volatile sessions","vwap_deviation_max;inside_bar_compression"
"volume_percentile_rank","early_bar","Generic/HPotter","Bar volume percentile (20-bar lookback)","ev_hist=sorted(V_{T-1} j=[1..20]); r=percentile_rank(V_i, ev_hist) for peak bar i=argmax(V)","OHLCV bars[0..D]; Index daily volume T-21..T-1","Positive; high percentile = institutional participation","Relative volume context distinguishes normal surge from exceptional commitment","Already [0,1]","Sparse history distorts percentile; need >=20 days","volume_surge_max;vol_clustered_ratio"
"upper_shadow_rejection","early_bar","Generic/Chao","Max upper shadow ratio","r=max((H_i-max(O_i,C_i))/(H_i-L_i+1e-8) for i in [0..D])","OHLC bars[0..D]","Negative; long upper shadow = rejection of highs; fade","Upper shadow shows aggressive selling above body; limits accepted but rejected","Winsorize 99th then [0,1]","Weak in strong uptrends where upper shadows are pullbacks","early_bearish_shooting_star;bar_body_rng_i"
"lower_shadow_rejection","early_bar","Generic/Chao","Max lower shadow ratio","r=max((min(O_i,C_i)-L_i)/(H_i-L_i+1e-8) for i in [0..D])","OHLC bars[0..D]","Positive; long lower shadow = rejection of lows; bounce","Lower shadow shows aggressive buying below body; dip-bids absorb selling","Winsorize 99th then [0,1]","Weak in strong downtrends where lower shadows are rallies","early_bullish_hammer;bar_body_rng_i"
"trend_bar_dominance","early_bar","Generic","Fraction of trend bars","tb=sum(1 for i in [0..D] if (C_i>O_i and (C_i-L_i)/(H_i-L_i+1e-8)>0.7) or (C_i<O_i and (H_i-C_i)/(H_i-L+1e-8)>0.7)); r=tb/(D+1)","OHLC bars[0..D]","Positive for bullish trend bars; Negative for bearish","Trend bars show one-sided conviction; dominance indicates direction persistence","Already [0,1]","Threshold 0.7 arbitrary; test sensitivity","bar_body_rng_i;path_length"
"open_efficiency","early_bar","Generic","How much of bar range filled from open","eff_i=abs(C_i-O_i)/(H_i-L_i+1e-8); r=mean(eff_i for i in [0..D])","OHLC bars[0..D]","Positive = efficient trend bars; Negative = reversal bars","High efficiency = directional bars; low efficiency = indecision/reversal bars","Already [0,1]","Meaningless with zero ranges","bar_body_rng_i;early_doji_count"
"late_bar_momentum","early_bar","Generic","Last 2 bars momentum vs opening","r=sum((C_i-O_i)/(H_i-L_i+1e-8) for i in [D-1..D]) - sum((C_i-O_i)/(H_i-L_i+1e-8) for i in [0..1])","OHLC bars[0..D]","Positive = accelerating bullish; Negative = accelerating bearish","Momentum shift into decision bar shows where conviction is building at decision time","Winsorize 95th then scale","Requires >=4 bars (D>=3)","early_body_momentum;consecutive_up_closes"
"volume_price_corr","early_bar","Generic/HPotter","Volume-price correlation opening bars","r=corr(V_i, abs(C_i-O_i)/(H_i-L_i+1e-8) for i in [0..D])","OHLCV bars[0..D]","Positive = volume confirms direction; Negative = volume divergence","High correlation = institutional participation aligned with price; divergence = exhaustion","Already [-1,+1]","Unstable with few bars; needs >=5 bars","volume_concentration;body_ratio_series"
"range_expansion_final_bar","early_bar","Generic","Final bar range vs average","r=(H_D-L_D)/(mean(H_i-L_i i=[0..D-1])+1e-8)-1","OHLC bars[0..D]","Positive = expanding into decision; Negative = contracting","Decision bar range expansion shows escalation; contraction shows resolution","Winsorize 95th","Single bar can distort ratio","range_expansion_ratio;early_range"
"consecutive_lower_lows","early_bar","Generic/Chao","Count of consecutive lower lows","ll=0; r=max(ll_i where ll_i=(L_i<L_{i-1})?nz(ll_{i-1})+1:0 for i in [0..D]) with ll0=1","OHLC bars[0..D]","Negative; long streak = bearish momentum","Consecutive lower lows = sustained aggressive selling; trend-following shorts add","Divide by (D+1) for ratio","Needs trend filter; weak standalone","early_return;consecutive_down_closes"
"consecutive_higher_highs","early_bar","Generic/Chao","Count of consecutive higher highs","hh=0; r=max(hh_i where hh_i=(H_i>H_{i-1})?nz(hh_{i-1})+1:0 for i in [0..D]) with hh0=1","OHLC bars[0..D]","Positive; long streak = bullish momentum","Consecutive higher highs = sustained aggressive buying; trend-following longs add","Divide by (D+1) for ratio","Needs trend filter; weak standalone","early_return;consecutive_up_closes"
"vwap_deviation_decision_bar","early_bar","Generic/VWAP","Decision bar close vs VWAP","vwap_D=cumsum(C_j*V_j j=0..D)/cumsum(V_j j=0..D); r=(C_D-vwap_D)/(max(H_D,L_D)-min(H_D,L_D)+1e-8)","OHLCV bars[0..D]","Positive = close above VWAP; Negative = below","Decision bar position relative to VWAP captures final-minute institutional positioning","Winsorize [-1,+1]","Requires volume; unreliable first 2 bars","vwap_deviation_max;close_vs_open_range"
"volume_per_bar_regime","early_bar","Generic","Sum volume vs expected daily fraction","r=sum(V_i for i in [0..D])/(sma_vol_daily[T-1]/48+1e-8) - (D+1)/48","OHLCV bars[0..D]; Index daily volume T-1","Positive = above-average volume in opening bars","Above-expected volume in opening bars signals institutional commitment early","Winsorize 95th","Distorted by special trading days","volume_dryup_ratio;volume_surge_max"
"decision_bar_reversal_signal","early_bar","Generic","Decision bar reversal from prior bar","r=sign(C_D-O_D)*(1 if ((C_D>O_D and L_D<L_{D-1}) or (C_D<O_D and H_D>H_{D-1})) else 0)","OHLC bars[0..D]","Positive = bullish reversal at decision; Negative = bearish reversal","Reversal at decision bar shows last-minute conviction shift; predicts afternoon continuation","Already [-1,0,+1]","Weak if D very small; false in chop","late_bar_momentum;spike_exhaustion_ratio"
"opening_range_position","early_bar","Generic/ORB","Close within opening range","hh=max(H_i i=[0..D]); ll=min(L_i i=[0..D]); r=(C_D-ll)/(hh-ll+1e-8)","OHLC bars[0..D]","Positive near 1 = strong bullish; near 0 = strong bearish","Position within opening range at decision encodes auction outcome conviction","Already [0,1]","Narrow ranges meaningless; combine with volume","or_fill_ratio;cl_pos_in_range"
"first_bar_body_ratio","early_bar","Generic","First bar body relative to range","r=abs(O0-C0)/(H0-L0+1e-8)","OHLC bar0 only","Positive = strong directional first bar; 0 = doji","Large first bar body shows strong overnight conviction; doji = uncertainty","Already [0,1]","Doji bars lose information","first_bar_sentiment;early_doji_count"
"consecutive_same_close_dir","early_bar","Generic","Max consecutive closes same direction","up=0; dn=0; r=max(max(up_i where up_i=(C_i>C_{i-1})?nz(up_{i-1})+1:0), max(dn_i where dn_i=(C_i<C_{i-1})?nz(dn_{i-1})+1:0))","OHLC bars[0..D]","Positive for up streak; Negative for down streak","Long streaks show sustained directional momentum; trend-following algorithms participate","Divide by (D+1) for ratio","Needs regime context","consecutive_up_closes;consecutive_down_closes"
"volume_trend_intraday","early_bar","Generic","Volume increasing or decreasing","r=regression_slope(V_i index=[0..D])/(mean(V_i)+1e-8)","OHLCV bars[0..D]","Positive = rising volume; Negative = falling volume","Rising volume in opening bars = growing participation; falling = fading interest","Divide by mean for ratio","Sensitive to outliers; winsorize","volume_per_bar_regime;vol_slope"
"pullback_depth_ratio","early_bar","Generic","Depth of pullback from opening high","hh=max(H_i i=[0..D]); ll=min(L_i i=[0..D]); r=(hh-max(C_D,H_D))/(hh-ll+1e-8)","OHLC bars[0..D]","Negative; deep pullback = rejection of opening high","Deep pullback shows selling absorption after opening high; fades afternoon","Already [0,1]","Meaningless if hh≈ll","pullback_ratio;rally_ratio"
"range_compression_ratio","early_bar","Generic","Opening bar range vs recent ATR","r=(H0-L0)/atr_index_5m(20,T-1)","OHLC bar0; Index ATR T-1","Positive; wide range = high vol regime","Normalizing opening range by recent ATR puts volatility in context","Winsorize 95th","ATR computation adds complexity","opening_range_size;early_realized_vol"
"close_above_open_count","early_bar","Generic","Count of bars closing above open","r=sum(1 for i in [0..D] if C_i>O_i)","OHLC bars[0..D]","Positive; ratio above 0.5 = bullish bias","Ratio of up-close bars measures buying pressure throughout opening session","Divide by (D+1) for ratio","Reversed bars reduce count value","early_body_momentum;trend_bar_dominance"
"high_low_sequence_momentum","early_bar","Generic","Momentum from high/low sequence","r=(sum(C_i-O_i for i in [0..D]))/(sum(abs(C_i-O_i)+1e-8 for i in [0..D]))","OHLC bars[0..D]","Continuous [-1,+1] = net momentum direction","Net signed momentum relative to absolute action measures conviction direction","Already bounded roughly [-1,+1]","Zero when perfect reversal","early_body_momentum;open_efficiency"
"intraday_slope","early_bar","Generic","Linear regression slope of closes","r=regression_slope(C_i index=[0..D])/(mean(C_i)+1e-8)","OHLC bars[0..D]","Positive slope = rising closes; Negative = falling closes","Slope captures trend direction and strength of intraday price trajectory","Divide by mean price for % scale","Unstable with <5 bars","early_return;path_length"
"opening_momentum_score","early_bar","Generic","Composite opening momentum","r=mean(sign(C_i-O_i)*(abs(C_i-O_i)/(H_i-L_i+1e-8)) for i in [0..D])","OHLC bars[0..D]","Continuous [-1,+1]","Combines direction and strength of each bar into single opening conviction score","Already [-1,+1]","Sensitive to first bar outlier","first_bar_sentiment;early_body_momentum"
"decision_bar_body","early_bar","Generic","Decision bar body ratio","r=abs(C_D-O_D)/(H_D-L_D+1e-8)","OHLC bar D only","Positive = strong directional close at decision","Large body at decision shows clear last-minute positioning; small body = uncertainty","Already [0,1]","Zero body = doji","close_vs_open_range;open_efficiency"
"volume_weighted_price_position","early_bar","Generic","VWAP relative to opening range","vwap_D=cumsum(C_j*V_j j=0..D)/cumsum(V_j j=0..D); r=(vwap_D-ll)/(hh-ll+1e-8) where hh=max(H_i) ll=min(L_i)","OHLCV bars[0..D]","Contextual; above midpoint = bullish value area","Volume-weighted value location relative to opening range shows institutional anchor","Already [0,1]","Requires volume; noisy first bars","vwap_deviation_decision_bar;or_fill_ratio"
"trend_exhaustion_early","early_bar","Generic","Early trend exhaustion","streak=max(consecutive_up_closes, consecutive_down_closes); r=max(0, 1 - abs(early_body_momentum)*streak/(D+1))","Derived from early_bar features","Negative; high = strong trend intact; low = exhaustion","When high momentum does not produce long streaks, trend is weak/exhausting","Already [0,1]","Multiply of two features","early_body_momentum;consecutive_up_closes"
"consolidation_bars_count","early_bar","Generic","Count of inside bars in opening","r=sum(1 for i in [1..D] where H_i<=H_{i-1} and L_i>=L_{i-1})","OHLC bars[0..D]","Zero count = trending; high count = consolidation","More inside bars = tighter coiling; predicts larger eventual breakout direction","Divide by (D+1) for ratio","Low count in trending markets","inside_bar_compression;inside_bar_failure_bull"
"breakout_strength_ratio","early_bar","Generic","Breakout beyond opening range","hh=max(H_i i=[0..D]); ll=min(L_i i=[0..D]); r=(C_D-hh)/(hh-ll+1e-8) if C_D>hh else (C_D-ll)/(hh-ll+1e-8) if C_D<ll else 0","OHLC bars[0..D]","Continuous; positive = upside breakout strength; negative = downside","Strength of breakout beyond opening range predicts momentum persistence","Winsorize 95th then scale","False breakouts in chop","orb_breakout_sentiment;range_expansion_ratio"
"momentum_divergence","early_bar","Generic","Price momentum vs volume trend","price_mom=intraday_slope; vol_mom=volume_trend_intraday; r=sign(price_mom)*sign(-vol_mom) if abs(vol_mom)>threshold else 0","Derived early_bar features","Negative = divergence (bad); Positive = confirmation","Price moving without volume support = divergence = likely reversal/fade","Discrete [-1,0,+1]","Threshold selection needed","volume_price_corr;intraday_slope"
"session_high_proximity","early_bar","Generic","Close proximity to session high","r=(C_D-hh)/(hh-ll+1e-8) where hh=hh_i ll=ll_i","OHLC bars[0..D]","Positive near 1 = near session high","Closing near high shows strong bid absorption; supports upside continuation","Already [0,1]","Weak if D small or range narrow","pullback_ratio;rally_ratio"
"session_low_proximity","early_bar","Generic","Close proximity to session low","r=(C_D-ll)/(hh-ll+1e-8) where hh=hh_i ll=ll_i","OHLC bars[0..D]","Negative near 0 = near session low","Closing near low shows strong offer absorption; supports downside continuation","Already [0,1]","Weak if D small or range narrow","pullback_ratio;rally_ratio"
"opening_direction_stability","early_bar","Generic","Stability of opening direction","r=1 - std(sign(C_i-O_i) for i in [0..D])","OHLC bars[0..D]","High = stable direction; Low = flipping","Stable direction in opening bars = clear market bias; unstable = indecision","Already [0,1]","Zero when perfect flips","early_body_momentum;consecutive_up_closes"
"vwap_reversion_strength","early_bar","Generic/VWAP","VWAP reversion magnitude","vwap_D=cumsum(C_j*V_j j=0..D)/cumsum(V_j j=0..D); r=(C_D-vwap_D)/(atr_index_5m(14,T-1)+1e-8)","OHLCV bars[0..D]; Index ATR T-1","Negative = reverted; Positive = extended from VWAP","Distance from VWAP in ATR units; large deviation tends to revert toward close","Winsorize [-1,+1]","Requires volume + ATR","vwap_deviation_decision_bar;early_realized_vol"
"momentum_strength_intraday","early_bar","Generic","Normalized price momentum","r=(C_D-C0)/(C0+1e-8)/(atr_index_5m(20,T-1)+1e-8)","OHLC bars[0..D]; Index ATR T-1","Positive = bullish momentum; Negative = bearish","Momentum normalized by ATR captures strength independent of volatility regime","Winsorize 95th","Backward-looking ATR","intraday_slope;early_return"
"volatility_regime_intraday","early_bar","Generic","Opening vol vs recent vol","r=mean((H_i-L_i) for i in [0..D])/(atr_index_5m(14,T-1)+1e-8)","OHLC bars[0..D]; Index ATR T-1","Positive = elevated vol; Negative = suppressed vol","Relative vol conditions how much conviction/participation to expect","Winsorize 95th","ATR adds complexity","early_realized_vol;range_expansion_ratio"
"trend_strength_intraday","early_bar","Generic","Directional consistency of bars","r=sum(sign(C_i-O_i) for i in [0..D])/(D+1)","OHLC bars[0..D]","Continuous [-1,+1]","More bars same direction = stronger trend; high positive = consistent buying","Already [-1,+1] roughly","Zero when mixed","early_body_momentum;trend_bar_dominance"
